,0,1,2
0,1.0,1.0,1.0
1,1.0,1.0,1.0
2,1.0,1.0,1.0
3,1.0,1.0,1.0
4,1.0,1.0,1.0
5,1.0,1.0,1.0
6,1.0,1.0,1.0
7,1.0,1.0,1.0
8,1.0,1.0,1.0
9,1.0,1.0,1.0
10,1.0,1.0,1.0
11,1.0,1.0,1.0
12,1.0,1.0,1.0
13,1.0,1.0,1.0
14,1.0,1.0,1.0
15,1.0,1.0,1.0
16,1.0,1.0,1.0
17,1.0,1.0,1.0
18,1.0,1.0,1.0
19,1.0,1.0,1.0
20,1.0,1.0,1.0
21,1.0,1.0,1.0
22,1.0,1.0,1.0
23,1.0,1.0,1.0
24,1.0,1.0,1.0
25,1.0,1.0,1.0
26,1.0,1.0,1.0
27,1.0,1.0,1.0
28,1.0,1.0,1.0
29,1.0,1.0,1.0
30,1.0,1.0,1.0
31,1.0,1.0,1.0
32,1.0,1.0,1.0
33,1.0,1.0,1.0
34,1.0,1.0,1.0
35,1.0,1.0,1.0
36,1.0,1.0,1.0
37,1.0,1.0,1.0
38,1.0,1.0,1.0
39,1.0,1.0,1.0
40,1.0,1.0,1.0
41,1.0,1.0,1.0
42,1.0,1.0,1.0
43,1.0,1.0,1.0
44,1.0,1.0,1.0
45,1.0,1.0,1.0
46,1.0,1.0,1.0
47,1.0,1.0,1.0
48,1.0,1.0,1.0
49,1.0,1.0,1.0
50,1.0,1.0,1.0
51,1.0,1.0,1.0
52,1.0,1.0,1.0
53,1.0,1.0,1.0
54,1.0,1.0,1.0
55,1.0,1.0,1.0
56,1.0,1.0,1.0
57,1.0,1.0,1.0
58,1.0,1.0,1.0
59,1.0,1.0,1.0
60,1.0,1.0,1.0
61,1.0,1.0,1.0
62,1.0,1.0,1.0
63,1.0,1.0,1.0
64,1.0,1.0,1.0
65,1.0,1.0,1.0
66,1.0,1.0,1.0
67,1.0,1.0,1.0
68,1.0,1.0,1.0
69,0.9925925731658936,1.0,1.0
70,0.9851852059364319,1.0,1.0
71,0.9851852059364319,1.0,1.0
72,0.9777777791023254,1.0,1.0
73,0.970370352268219,1.0,1.0
74,0.970370352268219,1.0,1.0
75,0.970370352268219,1.0,1.0
76,0.9629629850387573,0.9925925731658936,1.0
77,0.9555555582046509,0.9925925731658936,0.9926470518112183
78,0.9555555582046509,0.9851852059364319,0.9926470518112183
79,0.9555555582046509,0.9777777791023254,0.9779411554336548
80,0.9555555582046509,0.9777777791023254,0.9779411554336548
81,0.9555555582046509,0.9777777791023254,0.970588207244873
82,0.9555555582046509,0.9555555582046509,0.970588207244873
83,0.9555555582046509,0.9555555582046509,0.970588207244873
84,0.9555555582046509,0.9555555582046509,0.970588207244873
85,0.9555555582046509,0.9555555582046509,0.9632353186607361
86,0.9407407641410828,0.9555555582046509,0.9558823704719543
87,0.9407407641410828,0.9481481313705444,0.9558823704719543
88,0.9185185432434082,0.9481481313705444,0.9558823704719543
89,0.9185185432434082,0.9481481313705444,0.9411764740943909
90,0.8962963223457336,0.9407407641410828,0.8897058963775635
91,0.8888888955116272,0.9407407641410828,0.8602941036224365
92,0.8888888955116272,0.9333333373069763,0.8308823704719543
93,0.8592592477798462,0.9333333373069763,0.7352941036224365
94,0.8444444537162781,0.9259259104728699,0.7352941036224365
95,0.8148148059844971,0.9111111164093018,0.720588207244873
96,0.7111111283302307,0.7925925850868225,0.6911764740943909
97,0.10370370000600815,0.5703703761100769,0.6323529481887817
98,0.10370370000600815,0.2222222238779068,0.4264705777168274
99,0.0,0.0,0.0
