,source,target,value,type,source layer,target layer,normalized value
0,IGLC7,Initial triggering of complement,0.0060299186214454814,0,0,1,0.006809632044631794
1,IGLC7,Initial triggering of complement,0.004582400124066221,1,0,1,0.005174938616117803
2,IGLC7,Regulation of Complement cascade,0.0060299186214454814,0,0,1,0.006809632044631794
3,IGLC7,Regulation of Complement cascade,0.004582400124066221,1,0,1,0.005174938616117803
4,IGLC7,FCGR activation,0.0060299186214454814,0,0,1,0.006809632044631794
5,IGLC7,FCGR activation,0.004582400124066221,1,0,1,0.005174938616117803
6,IGLC7,Regulation of actin dynamics for phagocytic cup formation,0.0060299186214454814,0,0,1,0.006809632044631794
7,IGLC7,Regulation of actin dynamics for phagocytic cup formation,0.004582400124066221,1,0,1,0.005174938616117803
8,IGLC7,Role of phospholipids in phagocytosis,0.0060299186214454814,0,0,1,0.006809632044631794
9,IGLC7,Role of phospholipids in phagocytosis,0.004582400124066221,1,0,1,0.005174938616117803
10,IGLC7,Role of LAT2/NTAL/LAB on calcium mobilization,0.0060299186214454814,0,0,1,0.006809632044631794
11,IGLC7,Role of LAT2/NTAL/LAB on calcium mobilization,0.004582400124066221,1,0,1,0.005174938616117803
12,IGLC7,FCERI mediated MAPK activation,0.0060299186214454814,0,0,1,0.006809632044631794
13,IGLC7,FCERI mediated MAPK activation,0.004582400124066221,1,0,1,0.005174938616117803
14,IGLC7,FCERI mediated Ca+2 mobilization,0.0060299186214454814,0,0,1,0.006809632044631794
15,IGLC7,FCERI mediated Ca+2 mobilization,0.004582400124066221,1,0,1,0.005174938616117803
16,IGLC7,FCERI mediated NF-kB activation,0.0060299186214454814,0,0,1,0.006809632044631794
17,IGLC7,FCERI mediated NF-kB activation,0.004582400124066221,1,0,1,0.005174938616117803
18,IGLC7,Parasite infection,0.0060299186214454814,0,0,1,0.006809632044631794
19,IGLC7,Parasite infection,0.004582400124066221,1,0,1,0.005174938616117803
20,IGLC7,Leishmania parasite growth and survival,0.0060299186214454814,0,0,1,0.006809632044631794
21,IGLC7,Leishmania parasite growth and survival,0.004582400124066221,1,0,1,0.005174938616117803
22,IGLC7,Potential therapeutics for SARS,0.0060299186214454814,0,0,1,0.006809632044631794
23,IGLC7,Potential therapeutics for SARS,0.004582400124066221,1,0,1,0.005174938616117803
24,IGLC7,CD22 mediated BCR regulation,0.0060299186214454814,0,0,1,0.006809632044631794
25,IGLC7,CD22 mediated BCR regulation,0.004582400124066221,1,0,1,0.005174938616117803
26,IGLC7,Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,0.0060299186214454814,0,0,1,0.006809632044631794
27,IGLC7,Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,0.004582400124066221,1,0,1,0.005174938616117803
28,IGLC7,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,0.0060299186214454814,0,0,1,0.006809632044631794
29,IGLC7,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,0.004582400124066221,1,0,1,0.005174938616117803
30,IGLC7,Scavenging of heme from plasma,0.0060299186214454814,0,0,1,0.006809632044631794
31,IGLC7,Scavenging of heme from plasma,0.004582400124066221,1,0,1,0.005174938616117803
32,RB27B,Platelet degranulation ,4.575917975976177e-05,0,0,1,5.167618277963482e-05
33,RB27B,Platelet degranulation ,3.439324896342829e-05,1,0,1,3.884055241266543e-05
34,RB27B,RAB GEFs exchange GTP for GDP on RABs,4.575917975976177e-05,0,0,1,5.167618277963482e-05
35,RB27B,RAB GEFs exchange GTP for GDP on RABs,3.439324896342829e-05,1,0,1,3.884055241266543e-05
36,RB27B,RAB geranylgeranylation,4.575917975976177e-05,0,0,1,5.167618277963482e-05
37,RB27B,RAB geranylgeranylation,3.439324896342829e-05,1,0,1,3.884055241266543e-05
38,QSOX1,Platelet degranulation ,0.00022440099214682488,0,0,1,0.00025341771305760605
39,QSOX1,Platelet degranulation ,0.00020610058258976812,1,0,1,0.00023275092413836413
40,QSOX1,Neutrophil degranulation,0.00022440099214682488,0,0,1,0.00025341771305760605
41,QSOX1,Neutrophil degranulation,0.00020610058258976812,1,0,1,0.00023275092413836413
42,QSOX1,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),0.00022440099214682488,0,0,1,0.00025341771305760605
43,QSOX1,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),0.00020610058258976812,1,0,1,0.00023275092413836413
44,QSOX1,Post-translational protein phosphorylation,0.00022440099214682488,0,0,1,0.00025341771305760605
45,QSOX1,Post-translational protein phosphorylation,0.00020610058258976812,1,0,1,0.00023275092413836413
46,NRP1,Neurophilin interactions with VEGF and VEGFR,0.00047282369650917925,0,0,1,0.000533963324771758
47,NRP1,Neurophilin interactions with VEGF and VEGFR,0.0013661222971566688,1,0,1,0.0015427720928966704
48,NRP1,Semaphorin interactions,0.00047282369650917925,0,0,1,0.000533963324771758
49,NRP1,Semaphorin interactions,0.0013661222971566688,1,0,1,0.0015427720928966704
50,NRP1,L1CAM interactions,0.00047282369650917925,0,0,1,0.000533963324771758
51,NRP1,L1CAM interactions,0.0013661222971566688,1,0,1,0.0015427720928966704
52,NRP1,Signaling by ROBO receptors,0.00047282369650917925,0,0,1,0.000533963324771758
53,NRP1,Signaling by ROBO receptors,0.0013661222971566688,1,0,1,0.0015427720928966704
54,NRP1,SARS-CoV-2 Infection,0.00047282369650917925,0,0,1,0.000533963324771758
55,NRP1,SARS-CoV-2 Infection,0.0013661222971566688,1,0,1,0.0015427720928966704
56,APOL1,Scavenging of heme from plasma,0.00022706762873980036,0,0,1,0.00025642916563846363
57,APOL1,Scavenging of heme from plasma,0.0002424156426071534,1,0,1,0.00027376179209893925
58,APOL1,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),0.00022706762873980036,0,0,1,0.00025642916563846363
59,APOL1,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),0.0002424156426071534,1,0,1,0.00027376179209893925
60,APOL1,Post-translational protein phosphorylation,0.00022706762873980036,0,0,1,0.00025642916563846363
61,APOL1,Post-translational protein phosphorylation,0.0002424156426071534,1,0,1,0.00027376179209893925
62,ARPC3,RHO GTPase Effectors,6.130890427295028e-05,0,0,1,6.92366025759507e-05
63,ARPC3,RHO GTPase Effectors,0.000458510948326155,1,0,1,0.0005177998315651941
64,ARPC3,Regulation of actin dynamics for phagocytic cup formation,6.130890427295028e-05,0,0,1,6.92366025759507e-05
65,ARPC3,Regulation of actin dynamics for phagocytic cup formation,0.000458510948326155,1,0,1,0.0005177998315651941
66,ARPC3,EPH-Ephrin signaling,6.130890427295028e-05,0,0,1,6.92366025759507e-05
67,ARPC3,EPH-Ephrin signaling,0.000458510948326155,1,0,1,0.0005177998315651941
68,ARPC3,Parasite infection,6.130890427295028e-05,0,0,1,6.92366025759507e-05
69,ARPC3,Parasite infection,0.000458510948326155,1,0,1,0.0005177998315651941
70,ACTN4,Platelet degranulation ,0.000181556338972727,0,0,1,0.00020503292687527893
71,ACTN4,Platelet degranulation ,0.0018153667496044548,1,0,1,0.00205010720159639
72,ACTN4,Nephrin family interactions,0.000181556338972727,0,0,1,0.00020503292687527893
73,ACTN4,Nephrin family interactions,0.0018153667496044548,1,0,1,0.00205010720159639
74,FLNB,Antiviral mechanism by IFN-stimulated genes,0.0002818559590606834,0,0,1,0.0003183020354476952
75,FLNB,Antiviral mechanism by IFN-stimulated genes,0.0005400654896626929,1,0,1,0.0006098999829827281
76,PGRP1,Neutrophil degranulation,0.0009880396270082062,0,0,1,0.0011158005153688554
77,PGRP1,Neutrophil degranulation,0.0005801846248867122,1,0,1,0.0006552068214287349
78,FCN3,Initial triggering of complement,1.1790634333069392e-05,0,0,1,1.3315251236634138e-05
79,FCN3,Initial triggering of complement,8.268357309770543e-06,1,0,1,9.33751754009274e-06
80,IDHC,NADPH regeneration,0.00017053823367100426,0,0,1,0.0001925900984319735
81,IDHC,NADPH regeneration,0.0001097346894369777,1,0,1,0.0001239242027148007
82,IDHC,KEAP1-NFE2L2 pathway,0.00017053823367100426,0,0,1,0.0001925900984319735
83,IDHC,KEAP1-NFE2L2 pathway,0.0001097346894369777,1,0,1,0.0001239242027148007
84,IDHC,Neutrophil degranulation,0.00017053823367100426,0,0,1,0.0001925900984319735
85,IDHC,Neutrophil degranulation,0.0001097346894369777,1,0,1,0.0001239242027148007
86,IDHC,Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate,0.00017053823367100426,0,0,1,0.0001925900984319735
87,IDHC,Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate,0.0001097346894369777,1,0,1,0.0001239242027148007
88,UTS2,Class A/1 (Rhodopsin-like receptors),0.0009619058838893003,0,0,1,0.0010862874844706015
89,UTS2,Class A/1 (Rhodopsin-like receptors),0.001010647732485309,1,0,1,0.001141332017399042
90,UTS2,G alpha (q) signalling events,0.0009619058838893003,0,0,1,0.0010862874844706015
91,UTS2,G alpha (q) signalling events,0.001010647732485309,1,0,1,0.001141332017399042
92,APOM,Retinoid metabolism and transport,0.00014673311004121458,0,0,1,0.00016570679487969806
93,APOM,Retinoid metabolism and transport,0.0002628660504053861,1,0,1,0.0002968565900574646
94,VNN1,Vitamin B5 (pantothenate) metabolism,0.0003063060503659772,0,0,1,0.0003459137058033375
95,VNN1,Vitamin B5 (pantothenate) metabolism,0.00016622626193979446,1,0,1,0.00018772055661561086
96,VNN1,Neutrophil degranulation,0.0003063060503659772,0,0,1,0.0003459137058033375
97,VNN1,Neutrophil degranulation,0.00016622626193979446,1,0,1,0.00018772055661561086
98,VNN1,Post-translational modification: synthesis of GPI-anchored proteins,0.0003063060503659772,0,0,1,0.0003459137058033375
99,VNN1,Post-translational modification: synthesis of GPI-anchored proteins,0.00016622626193979446,1,0,1,0.00018772055661561086
100,FSTL3,Antagonism of Activin by Follistatin,0.0004848211135837571,0,0,1,0.0005475120972996821
101,FSTL3,Antagonism of Activin by Follistatin,0.00034891897120346377,1,0,1,0.0003940367949306574
102,FSTL3,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),0.0004848211135837571,0,0,1,0.0005475120972996821
103,FSTL3,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),0.00034891897120346377,1,0,1,0.0003940367949306574
104,FSTL3,Post-translational protein phosphorylation,0.0004848211135837571,0,0,1,0.0005475120972996821
105,FSTL3,Post-translational protein phosphorylation,0.00034891897120346377,1,0,1,0.0003940367949306574
106,K2C75,Formation of the cornified envelope,5.455424280593858e-05,0,0,1,6.160851303377772e-05
